iter	Passed	Remaining
405	5327	7794
406	5337	7776
407	5346	7757
408	5357	7740
409	5367	7723
410	5377	7705
411	5390	7692
412	5400	7675
413	5411	7660
414	5424	7646
415	5436	7631
416	5446	7615
417	5457	7598
418	5467	7580
419	5478	7564
420	5489	7549
421	5499	7532
422	5511	7517
423	5522	7502
424	5533	7486
425	5543	7469
426	5553	7452
427	5565	7437
428	5576	7422
429	5587	7406
430	5600	7393
431	5612	7379
432	5622	7363
433	5633	7347
434	5645	7332
435	5656	7316
436	5667	7301
437	5680	7288
438	5691	7272
439	5701	7256
440	5713	7242
441	5725	7227
442	5736	7212
443	5747	7197
444	5759	7183
445	5771	7169
446	5781	7152
447	5791	7136
448	5803	7121
449	5815	7107
450	5827	7093
451	5837	7076
452	5845	7059
453	5857	7043
454	5866	7027
455	5877	7011
456	5886	6994
457	5897	6979
458	5912	6968
459	5922	6952
460	5932	6935
461	5942	6919
462	5955	6906
463	5965	6891
464	5975	6875
465	5984	6857
466	5993	6840
467	6003	6824
468	6013	6808
469	6024	6793
470	6038	6781
471	6049	6767
472	6058	6750
473	6067	6733
474	6127	6772
475	6137	6756
476	6148	6741
477	6159	6726
478	6170	6711
479	6180	6695
480	6192	6682
481	6201	6665
482	6211	6649
483	6222	6634
484	6232	6617
485	6243	6602
486	6255	6589
487	6268	6576
488	6278	6560
489	6291	6548
490	6301	6532
491	6312	6517
492	6323	6502
493	6334	6488
494	6347	6476
495	6357	6460
496	6369	6446
497	6379	6430
498	6389	6415
499	6400	6400
500	6411	6386
501	6424	6372
502	6434	6357
503	6445	6343
504	6458	6331
505	6469	6315
506	6479	6300
507	6490	6285
508	6500	6270
509	6509	6254
510	6519	6238
511	6530	6223
512	6539	6207
513	6548	6191
514	6557	6175
515	6569	6162
516	6580	6147
517	6590	6132
518	6601	6117
519	6610	6101
520	6621	6087
521	6631	6072
522	6642	6058
523	6651	6042
524	6660	6026
525	6670	6010
526	6679	5995
527	6689	5979
528	6698	5964
529	6709	5949
530	6718	5934
531	6729	5920
532	6740	5905
533	6751	5891
534	6761	5877
535	6772	5862
536	6783	5848
537	6793	5833
538	6803	5818
539	6813	5804
540	6824	5789
541	6835	5776
542	6846	5762
543	6858	5748
544	6870	5735
545	6879	5720
546	6890	5706
547	6900	5691
548	6911	5677
549	6923	5664
550	6936	5652
551	6948	5639
552	6959	5625
553	6970	5611
554	6979	5596
555	6992	5584
556	7003	5569
557	7014	5555
558	7031	5547
559	7043	5533
560	7055	5520
561	7064	5505
562	7074	5491
563	7084	5476
564	7094	5462
565	7104	5447
566	7114	5432
567	7124	5418
568	7134	5403
569	7144	5389
570	7155	5375
571	7164	5360
572	7173	5346
573	7185	5332
574	7196	5319
575	7207	5305
576	7217	5290
